CHART																
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR				
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	13	9.62962962962963	9.37783926347564E-11	SMC03020, SMC03054, SMC03032, SMC03040, SMC03052, SMC03024, SMC03035, SMC03028, SMC03048, SMC03037, SMC03027, SMC03049, SMC03019	52	37	1767	11.9391891891892	9.37784294663402E-10	3.12594642115855E-10	1.87556785269513E-10				
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	13	9.62962962962963	9.37783926347564E-11	SMC03020, SMC03054, SMC03032, SMC03040, SMC03052, SMC03024, SMC03035, SMC03028, SMC03048, SMC03037, SMC03027, SMC03049, SMC03019	52	37	1767	11.9391891891892	9.37784294663402E-10	3.12594642115855E-10	1.87556785269513E-10				
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	13	9.62962962962963	9.37783926347564E-11	SMC03020, SMC03054, SMC03032, SMC03040, SMC03052, SMC03024, SMC03035, SMC03028, SMC03048, SMC03037, SMC03027, SMC03049, SMC03019	52	37	1767	11.9391891891892	9.37784294663402E-10	3.12594642115855E-10	1.87556785269513E-10				
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	13	9.62962962962963	1.59958625149183E-10	SMC01319, SMC01307, SMC01318, SMC03859, SMC01290, SMC01291, SMC01294, SMC01295, SMC02692, SMC01310, SMC00485, SMC00567, SMC01306	69	53	3484	12.38501503965	9.27759891133917E-09	9.27760025865259E-09	8.95768300835422E-09				
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	10	7.40740740740741	4.7434987806046E-10	SMC03020, SMC03032, SMC03040, SMC03024, SMC03035, SMC03028, SMC03037, SMC03027, SMC03049, SMC03019	67	17	2024	17.7699736611062	2.0397045163989E-08	1.99226948785393E-08	1.99226948785393E-08				
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	13	9.62962962962963	8.56729686366835E-10	SMC01319, SMC01307, SMC01318, SMC03859, SMC01290, SMC01291, SMC01294, SMC01295, SMC02692, SMC01310, SMC00485, SMC00567, SMC01306	53	56	2380	10.4245283018868	1.71345936328393E-08	8.56729686366835E-09	7.2822023341181E-09				
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	13	9.62962962962963	8.56729686366835E-10	SMC01319, SMC01307, SMC01318, SMC03859, SMC01290, SMC01291, SMC01294, SMC01295, SMC02692, SMC01310, SMC00485, SMC00567, SMC01306	53	56	2380	10.4245283018868	1.71345936328393E-08	8.56729686366835E-09	7.2822023341181E-09				
UP_KW_CELLULAR_COMPONENT	KW-0975~Bacterial flagellum	9	6.66666666666667	9.63928718531615E-09	SMC03020, SMC03032, SMC03040, SMC03024, SMC03028, SMC03037, SMC03048, SMC03049, SMC03019	52	18	1767	16.9903846153846	9.6392867243722E-08	2.40982179632904E-08	1.44589307779742E-08				
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	10	7.40740740740741	5.58754184643943E-08	SMC01319, SMC01307, SMC01294, SMC01295, SMC02692, SMC03242, SMC00485, SMC00567, SMC01306, SMC01290	53	38	2380	11.8172790466733	1.11750777709307E-06	3.72502789762629E-07	3.16627371298234E-07				
