Annotation Cluster 1	Enrichment Score: 10.64193243772654
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	20	4.987531172069826	1.5522575513890684E-13	SMC01308, SMC01319, SMC01307, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	161	38	2425	7.927427263811704	5.897948796018682E-12	5.89857869527846E-12	5.89857869527846E-12
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	19	4.738154613466334	2.575332944470594E-13	SMC01308, SMC01307, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC04454, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	213	36	3453	8.555946791862285	4.404476783292921E-11	4.403819335044716E-11	4.403819335044716E-11
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	22	5.486284289276807	7.491186695750793E-13	SMC01308, SMC01319, SMC01307, SMC01318, SMC03859, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	213	53	3453	6.729205421206484	1.2809053817619542E-10	6.404964624866929E-11	6.404964624866929E-11
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	22	5.486284289276807	8.156206875339239E-12	SMC01308, SMC01319, SMC01307, SMC01318, SMC03859, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	161	56	2425	5.917258207630879	3.099376311155311E-10	1.0331195375429702E-10	1.0331195375429702E-10
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	22	5.486284289276807	8.156206875339239E-12	SMC01308, SMC01319, SMC01307, SMC01318, SMC03859, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	161	56	2425	5.917258207630879	3.099376311155311E-10	1.0331195375429702E-10	1.0331195375429702E-10
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	22	5.486284289276807	2.6464157606856107E-11	SMC01308, SMC01319, SMC01307, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC04454, SMC01295, SMC01298, SMC01287, SMC01300, SMC00475, SMC01299, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	161	59	2425	5.616380671649647	1.0056382393486274E-9	2.51409497265133E-10	2.51409497265133E-10
GOTERM_BP_DIRECT	GO:0006412~translation	23	5.7356608478802995	3.357439717305562E-10	SMC01308, SMC01319, SMC01307, SMC01318, SMC03859, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC04454, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	164	61	2016	4.634946021591364	3.928204583836248E-8	3.8946300720744523E-8	3.8946300720744523E-8
GOTERM_CC_DIRECT	GO:0005840~ribosome	15	3.7406483790523692	4.135708773273727E-6	SMC01308, SMC01307, SMC01318, SMC03859, SMC01309, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01321, SMC01302, SMC01303	161	44	1971	4.173489553924337	8.271092576850325E-5	8.271417546547454E-5	8.271417546547454E-5

Annotation Cluster 2	Enrichment Score: 1.453438915920478
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	DOMAIN:ABC transmembrane type-1	21	5.236907730673317	0.009884206234537113	SM_B20282, SMC02517, SM_B20571, SM_B20477, SM_B20941, SM_B20478, SM_B20327, SM_B20326, SMC03062, SMA1363, SM_B20937, SMC03063, SMC00185, SMC02871, SMC02830, SMC01498, SMC01497, SMC02872, SMA1437, SMC01634, SMC02516	268	187	4348	1.8219331151727993	0.9684700059526284	1.0	1.0
INTERPRO	IPR000515:Binding-protein-dependent transport systems inner membrane component	18	4.488778054862843	0.04298770412949758	SM_B20282, SMC02517, SM_B20571, SM_B20477, SM_B20478, SM_B20327, SM_B20326, SMC03062, SMA1363, SMC03063, SMC02871, SMC02830, SMC01498, SMC01497, SMC02872, SMA1437, SMC01634, SMC02516	305	175	4890	1.6490866510538642	0.9999999999982413	1.0	1.0
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	23	5.7356608478802995	0.10265904095057642	SM_B20282, SMC02517, SM_B21196, SM_B20571, SM_B20477, SM_B20476, SM_B21205, SM_B21204, SM_B20327, SM_B20326, SMC04293, SMC03062, SMA1363, SMC03063, SMC04289, SMC02871, SMC02830, SMC01498, SMC01497, SMC02872, SMA1437, SMC01634, SMC02516	164	207	2016	1.3658536585365855	0.9999968665230106	1.0	1.0

Annotation Cluster 3	Enrichment Score: 1.37867365765791
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_LIGAND	KW-0547~Nucleotide-binding	34	8.478802992518704	0.0071206294215503865	SM_B21183, SMC00913, SM_B21566, SM_B21523, SMC04282, SMC03065, SMC04011, SMC00590, SMC00493, SMC02376, SMC00154, SMC02433, SMC02599, SMC00475, SMC01288, SMA0744, SMC00059, SMC01005, SMC01169, SMC01326, SMC02559, SM_B20363, SM_B20049, SMC00090, SMC04462, SMC01192, SM_B20937, SMA2331, SMC01035, SMC02325, SMC01235, SMC01279, SMC01215	80	283	981	1.473233215547703	0.1636035471467835	0.17801573553875966	0.17801573553875966
GOTERM_MF_DIRECT	GO:0005524~ATP binding	38	9.476309226932669	0.03873497724673683	SM_B21183, SMC00913, SM_B21344, SM_B21566, SM_B20652, SM_B21523, SM_B20478, SM_B21206, SMC04282, SMC03065, SMC04011, SMC00590, SMC00493, SMC04454, SMC02376, SMC02474, SMC00175, SMC02433, SMC00475, SMC01288, SMA0744, SMC00059, SMA0745, SMC02508, SM_B20363, SM_B22023, SM_B20941, SMC00090, SMC01192, SM_B20937, SMA2331, SMC00185, SMA1864, SMC02325, SMC01499, SMC01235, SMC01279, SMC01215	213	454	3453	1.356890240119129	0.9988353995573321	1.0	1.0
